year,type,priceAvg,color
2013,1brA,1365,red
2014,1brA,1512,red
2015,1brA,1689,red
2016,1brA,1886,red
2017,1brA,1935,red
2017,1brA,1935,red
2018,1brA,2032,red
2019,1brA,2133,red
2020,1brA,2240,red
2021,1brA,2352,red
2022,1brA,2470,red
2023,1brA,2593,red
2013,1brB,1365,green
2014,1brB,1512,green
2015,1brB,1689,green
2016,1brB,1886,green
2017,1brB,1935,green
2018,1brB,2129,green
2019,1brB,2341,green
2020,1brB,2575,green
2021,1brB,2833,green
2022,1brB,3116,green
2023,1brB,3428,green
2013,1brC,1365,blue
2014,1brC,1512,blue
2015,1brC,1689,blue
2016,1brC,1886,blue
2017,1brC,1935,blue
2018,1brC,2225,blue
2019,1brC,2559,blue
2020,1brC,2943,blue
2021,1brC,3384,blue
2022,1brC,3892,blue
2023,1brC,4476,blue
